group	experiment	tissue	day	pig_num	treatment	num_seqs	design	treatXday
X2P94N5BFD15	FS2	feces	15	94	RPS	23638	FS2_feces_15_RPS	RPS_day_15
X2P94N5BFD19	FS2	feces	19	94	RPS	16306	FS2_feces_19_RPS	RPS_day_19
X2P94N5BFD28	FS2	feces	28	94	RPS	30546	FS2_feces_28_RPS	RPS_day_28
X2P94N5BFD35	FS2	feces	35	94	RPS	2866	FS2_feces_35_RPS	RPS_day_35
X2P94N5BFD41	FS2	feces	41	94	RPS	27275	FS2_feces_41_RPS	RPS_day_41
X2P94N5BXD41	FS2	cecum	41	94	RPS	47763	FS2_cecum_41_RPS	RPS_day_41
X2P94N5BiD41	FS2	ileum	41	94	RPS	531	FS2_ileum_41_RPS	RPS_day_41
X2P95N5AFD0	FS2	feces	0	95	RPS	12635	FS2_feces_0_RPS	RPS_day_0
X2P95N5AFD21	FS2	feces	21	95	RPS	41863	FS2_feces_21_RPS	RPS_day_21
X2P95N5AMD42	FS2	cec_cont_DNA	41	95	RPS	16	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P95N5AUD42	FS2	cec_cont_RNA	41	95	RPS	51954	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P95N5BCD41	FS2	colon	41	95	RPS	46974	FS2_colon_41_RPS	RPS_day_41
X2P95N5BFD12	FS2	feces	12	95	RPS	15893	FS2_feces_12_RPS	RPS_day_12
X2P95N5BFD15	FS2	feces	15	95	RPS	31070	FS2_feces_15_RPS	RPS_day_15
X2P95N5BFD19	FS2	feces	19	95	RPS	24482	FS2_feces_19_RPS	RPS_day_19
X2P95N5BFD28	FS2	feces	28	95	RPS	33625	FS2_feces_28_RPS	RPS_day_28
X2P95N5BFD35	FS2	feces	35	95	RPS	32053	FS2_feces_35_RPS	RPS_day_35
X2P95N5BFD41	FS2	feces	41	95	RPS	291	FS2_feces_41_RPS	RPS_day_41
X2P95N5BXD41	FS2	cecum	41	95	RPS	32098	FS2_cecum_41_RPS	RPS_day_41
X2P95N5BiD41	FS2	ileum	41	95	RPS	2642	FS2_ileum_41_RPS	RPS_day_41
X2P96N5AFD0	FS2	feces	0	96	RPS	20542	FS2_feces_0_RPS	RPS_day_0
X2P96N5AFD21	FS2	feces	21	96	RPS	32359	FS2_feces_21_RPS	RPS_day_21
X2P96N5AMD42	FS2	cec_cont_DNA	41	96	RPS	44	FS2_cec_cont_DNA_41_RPS	RPS_day_41
X2P96N5AUD42	FS2	cec_cont_RNA	41	96	RPS	34574	FS2_cec_cont_RNA_41_RPS	RPS_day_41
X2P96N5BCD41	FS2	colon	41	96	RPS	50064	FS2_colon_41_RPS	RPS_day_41
X2P96N5BFD12	FS2	feces	12	96	RPS	5033	FS2_feces_12_RPS	RPS_day_12
X2P96N5BFD15	FS2	feces	15	96	RPS	22531	FS2_feces_15_RPS	RPS_day_15
X2P96N5BFD19	FS2	feces	19	96	RPS	31544	FS2_feces_19_RPS	RPS_day_19
X2P96N5BFD28	FS2	feces	28	96	RPS	32009	FS2_feces_28_RPS	RPS_day_28
X2P96N5BFD35	FS2	feces	35	96	RPS	7	FS2_feces_35_RPS	RPS_day_35
X2P96N5BFD41	FS2	feces	41	96	RPS	34823	FS2_feces_41_RPS	RPS_day_41
X2P96N5BXD41	FS2	cecum	41	96	RPS	32177	FS2_cecum_41_RPS	RPS_day_41
X2P96N5BiD41	FS2	ileum	41	96	RPS	3355	FS2_ileum_41_RPS	RPS_day_41
X3P10FD21	FS4	feces	21	10	tet	4440	FS4_feces_21_tet	tet_day_21
X3P11FD21	FS4	feces	21	11	RPS	6479	FS4_feces_21_RPS	RPS_day_21
X3P12FD21	FS4	feces	21	12	butyrate	31054	FS4_feces_21_butyrate	butyrate_day_21
X3P13FD21	FS4	feces	21	13	control	22840	FS4_feces_21_control	control_day_21
X3P14FD21	FS4	feces	21	14	butyrate	22738	FS4_feces_21_butyrate	butyrate_day_21
X3P15FD21	FS4	feces	21	15	inulin	6544	FS4_feces_21_inulin	inulin_day_21
X3P16FD21	FS4	feces	21	16	inulin	2850	FS4_feces_21_inulin	inulin_day_21
X3P17FD21	FS4	feces	21	17	butyrate	27392	FS4_feces_21_butyrate	butyrate_day_21
X3P18FD21	FS4	feces	21	18	RPS	12003	FS4_feces_21_RPS	RPS_day_21
X3P19FD21	FS4	feces	21	19	control	7845	FS4_feces_21_control	control_day_21
X3P1FD21	FS4	feces	21	1	tet	451	FS4_feces_21_tet	tet_day_21
X3P20FD21	FS4	feces	21	20	butyrate	39917	FS4_feces_21_butyrate	butyrate_day_21
X3P21FD21	FS4	feces	21	21	tet	747	FS4_feces_21_tet	tet_day_21
X3P22FD21	FS4	feces	21	22	control	20770	FS4_feces_21_control	control_day_21
X3P23FD21	FS4	feces	21	23	RPS	4047	FS4_feces_21_RPS	RPS_day_21
X3P24FD21	FS4	feces	21	24	RPS	140	FS4_feces_21_RPS	RPS_day_21
X3P25FD21	FS4	feces	21	25	control	16619	FS4_feces_21_control	control_day_21
X3P26FD21	FS4	feces	21	26	RPS	8174	FS4_feces_21_RPS	RPS_day_21
X3P27FD21	FS4	feces	21	27	tet	3340	FS4_feces_21_tet	tet_day_21
X3P28FD21	FS4	feces	21	28	RPS	38244	FS4_feces_21_RPS	RPS_day_21
X3P29FD21	FS4	feces	21	29	butyrate	1030	FS4_feces_21_butyrate	butyrate_day_21
X3P2FD21	FS4	feces	21	2	control	8110	FS4_feces_21_control	control_day_21
X3P30FD21	FS4	feces	21	30	inulin	13248	FS4_feces_21_inulin	inulin_day_21
X3P3FD21	FS4	feces	21	3	inulin	1826	FS4_feces_21_inulin	inulin_day_21
X3P4FD21	FS4	feces	21	4	control	41098	FS4_feces_21_control	control_day_21
X3P5FD21	FS4	feces	21	5	tet	28457	FS4_feces_21_tet	tet_day_21
X3P6FD21	FS4	feces	21	6	tet	4965	FS4_feces_21_tet	tet_day_21
X3P7FD21	FS4	feces	21	7	inulin	102	FS4_feces_21_inulin	inulin_day_21
X3P8FD21	FS4	feces	21	8	butyrate	11514	FS4_feces_21_butyrate	butyrate_day_21
X3P9FD21	FS4	feces	21	9	inulin	9492	FS4_feces_21_inulin	inulin_day_21
X5P38CD33	FS5	colon	33	38	carrier	896	FS5_colon_33_carrier	carrier_day_33
X5P38ED33	FS5	cecum	33	38	carrier	583	FS5_cecum_33_carrier	carrier_day_33
X5P38FD0	FS5	feces	0	38	carrier	43740	FS5_feces_0_carrier	carrier_day_0
X5P38FD14	FS5	feces	14	38	carrier	9759	FS5_feces_14_carrier	carrier_day_14
X5P38FD19	FS5	feces	19	38	carrier	40189	FS5_feces_19_carrier	carrier_day_19
X5P38FD21	FS5	feces	21	38	carrier	10730	FS5_feces_21_carrier	carrier_day_21
X5P38FD23	FS5	feces	23	38	carrier	1683	FS5_feces_23_carrier	carrier_day_23
X5P38FD26	FS5	feces	26	38	carrier	57387	FS5_feces_26_carrier	carrier_day_26
X5P38FD33	FS5	feces	33	38	carrier	59904	FS5_feces_33_carrier	carrier_day_33
X5P38FD5	FS5	feces	5	38	carrier	27709	FS5_feces_5_carrier	carrier_day_5
X5P38FD9	FS5	feces	9	38	carrier	62649	FS5_feces_9_carrier	carrier_day_9
X5P38ID33	FS5	ileum	33	38	carrier	1419	FS5_ileum_33_carrier	carrier_day_33
X5P39CD33	FS5	colon	33	39	carrier	345	FS5_colon_33_carrier	carrier_day_33
X5P39ED33	FS5	cecum	33	39	carrier	1099	FS5_cecum_33_carrier	carrier_day_33
X5P39FD0	FS5	feces	0	39	carrier	848	FS5_feces_0_carrier	carrier_day_0
X5P39FD14	FS5	feces	14	39	carrier	117	FS5_feces_14_carrier	carrier_day_14
X5P39FD19	FS5	feces	19	39	carrier	11011	FS5_feces_19_carrier	carrier_day_19
X5P39FD21	FS5	feces	21	39	carrier	1830	FS5_feces_21_carrier	carrier_day_21
X5P39FD23	FS5	feces	23	39	carrier	549	FS5_feces_23_carrier	carrier_day_23
X5P39FD26	FS5	feces	26	39	carrier	48660	FS5_feces_26_carrier	carrier_day_26
X5P39FD33	FS5	feces	33	39	carrier	42059	FS5_feces_33_carrier	carrier_day_33
X5P39FD5	FS5	feces	5	39	carrier	1919	FS5_feces_5_carrier	carrier_day_5
X5P39FD9	FS5	feces	9	39	carrier	23	FS5_feces_9_carrier	carrier_day_9
X5P39ID33	FS5	ileum	33	39	carrier	2401	FS5_ileum_33_carrier	carrier_day_33
X5P40CD33	FS5	colon	33	40	SCID	1211	FS5_colon_33_SCID	SCID_day_33
X5P40ED33	FS5	cecum	33	40	SCID	2741	FS5_cecum_33_SCID	SCID_day_33
X5P40FD0	FS5	feces	0	40	SCID	9514	FS5_feces_0_SCID	SCID_day_0
X5P40FD14	FS5	feces	14	40	SCID	3746	FS5_feces_14_SCID	SCID_day_14
X5P40FD19	FS5	feces	19	40	SCID	5405	FS5_feces_19_SCID	SCID_day_19
X5P40FD21	FS5	feces	21	40	SCID	5676	FS5_feces_21_SCID	SCID_day_21
X5P40FD23	FS5	feces	23	40	SCID	5224	FS5_feces_23_SCID	SCID_day_23
X5P40FD26	FS5	feces	26	40	SCID	32801	FS5_feces_26_SCID	SCID_day_26
X5P40FD33	FS5	feces	33	40	SCID	40350	FS5_feces_33_SCID	SCID_day_33
X5P40FD5	FS5	feces	5	40	SCID	1797	FS5_feces_5_SCID	SCID_day_5
X5P40FD9	FS5	feces	9	40	SCID	6901	FS5_feces_9_SCID	SCID_day_9
X5P40ID33	FS5	ileum	33	40	SCID	73	FS5_ileum_33_SCID	SCID_day_33
X5P41CD33	FS5	colon	33	41	SCID	5203	FS5_colon_33_SCID	SCID_day_33
X5P41ED33	FS5	cecum	33	41	SCID	86666	FS5_cecum_33_SCID	SCID_day_33
X5P41FD0	FS5	feces	0	41	SCID	19499	FS5_feces_0_SCID	SCID_day_0
X5P41FD14	FS5	feces	14	41	SCID	759	FS5_feces_14_SCID	SCID_day_14
X5P41FD19	FS5	feces	19	41	SCID	57632	FS5_feces_19_SCID	SCID_day_19
X5P41FD21	FS5	feces	21	41	SCID	127055	FS5_feces_21_SCID	SCID_day_21
X5P41FD23	FS5	feces	23	41	SCID	25513	FS5_feces_23_SCID	SCID_day_23
X5P41FD26	FS5	feces	26	41	SCID	34012	FS5_feces_26_SCID	SCID_day_26
X5P41FD33	FS5	feces	33	41	SCID	45365	FS5_feces_33_SCID	SCID_day_33
X5P41FD5	FS5	feces	5	41	SCID	64630	FS5_feces_5_SCID	SCID_day_5
X5P41FD9	FS5	feces	9	41	SCID	9226	FS5_feces_9_SCID	SCID_day_9
X5P41ID33	FS5	ileum	33	41	SCID	526	FS5_ileum_33_SCID	SCID_day_33
X5P42CD33	FS5	colon	33	42	SCID	118733	FS5_colon_33_SCID	SCID_day_33
X5P42ED33	FS5	cecum	33	42	SCID	91854	FS5_cecum_33_SCID	SCID_day_33
X5P42FD0	FS5	feces	0	42	SCID	50775	FS5_feces_0_SCID	SCID_day_0
X5P42FD14	FS5	feces	14	42	SCID	42352	FS5_feces_14_SCID	SCID_day_14
X5P42FD19	FS5	feces	19	42	SCID	5588	FS5_feces_19_SCID	SCID_day_19
X5P42FD21	FS5	feces	21	42	SCID	11107	FS5_feces_21_SCID	SCID_day_21
X5P42FD23	FS5	feces	23	42	SCID	44454	FS5_feces_23_SCID	SCID_day_23
X5P42FD26	FS5	feces	26	42	SCID	5108	FS5_feces_26_SCID	SCID_day_26
X5P42FD33	FS5	feces	33	42	SCID	27031	FS5_feces_33_SCID	SCID_day_33
X5P42FD5	FS5	feces	5	42	SCID	2462	FS5_feces_5_SCID	SCID_day_5
X5P42FD9	FS5	feces	9	42	SCID	12645	FS5_feces_9_SCID	SCID_day_9
X5P42ID33	FS5	ileum	33	42	SCID	1585	FS5_ileum_33_SCID	SCID_day_33
X5P43CD33	FS5	colon	33	43	carrier	28809	FS5_colon_33_carrier	carrier_day_33
X5P43ED33	FS5	cecum	33	43	carrier	72323	FS5_cecum_33_carrier	carrier_day_33
X5P43FD0	FS5	feces	0	43	carrier	16063	FS5_feces_0_carrier	carrier_day_0
X5P43FD14	FS5	feces	14	43	carrier	12358	FS5_feces_14_carrier	carrier_day_14
X5P43FD19	FS5	feces	19	43	carrier	2243	FS5_feces_19_carrier	carrier_day_19
X5P43FD21	FS5	feces	21	43	carrier	7492	FS5_feces_21_carrier	carrier_day_21
X5P43FD23	FS5	feces	23	43	carrier	3276	FS5_feces_23_carrier	carrier_day_23
X5P43FD26	FS5	feces	26	43	carrier	51127	FS5_feces_26_carrier	carrier_day_26
X5P43FD33	FS5	feces	33	43	carrier	45972	FS5_feces_33_carrier	carrier_day_33
X5P43FD5	FS5	feces	5	43	carrier	6398	FS5_feces_5_carrier	carrier_day_5
X5P43FD9	FS5	feces	9	43	carrier	24350	FS5_feces_9_carrier	carrier_day_9
X5P43ID33	FS5	ileum	33	43	carrier	15172	FS5_ileum_33_carrier	carrier_day_33
X5P44CD33	FS5	colon	33	44	SCID	66922	FS5_colon_33_SCID	SCID_day_33
X5P44ED33	FS5	cecum	33	44	SCID	71010	FS5_cecum_33_SCID	SCID_day_33
X5P44FD0	FS5	feces	0	44	SCID	10095	FS5_feces_0_SCID	SCID_day_0
X5P44FD14	FS5	feces	14	44	SCID	48186	FS5_feces_14_SCID	SCID_day_14
X5P44FD19	FS5	feces	19	44	SCID	3282	FS5_feces_19_SCID	SCID_day_19
X5P44FD21	FS5	feces	21	44	SCID	46283	FS5_feces_21_SCID	SCID_day_21
X5P44FD23	FS5	feces	23	44	SCID	7590	FS5_feces_23_SCID	SCID_day_23
X5P44FD26	FS5	feces	26	44	SCID	79906	FS5_feces_26_SCID	SCID_day_26
X5P44FD33	FS5	feces	33	44	SCID	64455	FS5_feces_33_SCID	SCID_day_33
X5P44FD5	FS5	feces	5	44	SCID	4339	FS5_feces_5_SCID	SCID_day_5
X5P44FD9	FS5	feces	9	44	SCID	57879	FS5_feces_9_SCID	SCID_day_9
X5P44ID33	FS5	ileum	33	44	SCID	7569	FS5_ileum_33_SCID	SCID_day_33
