group experiment tissue day pig_num treatment num_seqs design treatXday sample
X2P91N5AMD42 FS2 cec_cont_DNA 41 91 RPS 1 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_91
X2P91N5AUD42 FS2 cec_cont_RNA 41 91 RPS 20406 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_91
X2P91N5AXD41 FS2 cecum 41 91 RPS 34089 FS2_cecum_41_RPS RPS_day_41 cecum_41_91
X2P91N5AiD41 FS2 ileum 41 91 RPS 1190 FS2_ileum_41_RPS RPS_day_41 ileum_41_91
X2P92N5ACD41 FS2 colon 41 92 RPS 41383 FS2_colon_41_RPS RPS_day_41 colon_41_92
X2P92N5AFD0 FS2 feces 0 92 RPS 23335 FS2_feces_0_RPS RPS_day_0 feces_0_92
X2P92N5AFD12 FS2 feces 12 92 RPS 4898 FS2_feces_12_RPS RPS_day_12 feces_12_92
X2P92N5AFD15 FS2 feces 15 92 RPS 27444 FS2_feces_15_RPS RPS_day_15 feces_15_92
X2P92N5AFD21 FS2 feces 21 92 RPS 41263 FS2_feces_21_RPS RPS_day_21 feces_21_92
X2P92N5AFD28 FS2 feces 28 92 RPS 38590 FS2_feces_28_RPS RPS_day_28 feces_28_92
X2P92N5AFD35 FS2 feces 35 92 RPS 1317 FS2_feces_35_RPS RPS_day_35 feces_35_92
X2P92N5AFD41 FS2 feces 41 92 RPS 28985 FS2_feces_41_RPS RPS_day_41 feces_41_92
X2P92N5AMD42 FS2 cec_cont_DNA 41 92 RPS 1 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_92
X2P92N5AUD42 FS2 cec_cont_RNA 41 92 RPS 62300 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_92
X2P92N5AXD41 FS2 cecum 41 92 RPS 45068 FS2_cecum_41_RPS RPS_day_41 cecum_41_92
X2P92N5AiD41 FS2 ileum 41 92 RPS 3526 FS2_ileum_41_RPS RPS_day_41 ileum_41_92
X2P93N5AFD0 FS2 feces 0 93 RPS 21526 FS2_feces_0_RPS RPS_day_0 feces_0_93
X2P93N5AFD21 FS2 feces 21 93 RPS 39587 FS2_feces_21_RPS RPS_day_21 feces_21_93
X2P93N5AMD42 FS2 cec_cont_DNA 41 93 RPS 2 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_93
X2P93N5AUD42 FS2 cec_cont_RNA 41 93 RPS 27586 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_93
X2P93N5BCD21 FS2 colon 41 93 RPS 73351 FS2_colon_41_RPS RPS_day_41 colon_41_93
X2P93N5BFD12 FS2 feces 12 93 RPS 19468 FS2_feces_12_RPS RPS_day_12 feces_12_93
X2P93N5BFD15 FS2 feces 15 93 RPS 29864 FS2_feces_15_RPS RPS_day_15 feces_15_93
X2P93N5BFD19 FS2 feces 19 93 RPS 30284 FS2_feces_19_RPS RPS_day_19 feces_19_93
X2P93N5BFD28 FS2 feces 28 93 RPS 39307 FS2_feces_28_RPS RPS_day_28 feces_28_93
X2P93N5BFD35 FS2 feces 35 93 RPS 6 FS2_feces_35_RPS RPS_day_35 feces_35_93
X2P93N5BFD41 FS2 feces 41 93 RPS 28000 FS2_feces_41_RPS RPS_day_41 feces_41_93
X2P93N5BXD21 FS2 cecum 41 93 RPS 53587 FS2_cecum_41_RPS RPS_day_41 cecum_41_93
X2P93N5BiD21 FS2 ileum 41 93 RPS 2548 FS2_ileum_41_RPS RPS_day_41 ileum_41_93
X2P94N5AFD0 FS2 feces 0 94 RPS 15479 FS2_feces_0_RPS RPS_day_0 feces_0_94
X2P94N5AFD21 FS2 feces 21 94 RPS 28750 FS2_feces_21_RPS RPS_day_21 feces_21_94
X2P94N5AMD42 FS2 cec_cont_DNA 41 94 RPS 31 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_94
X2P94N5AUD42 FS2 cec_cont_RNA 41 94 RPS 40044 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_94
X2P94N5BCD41 FS2 colon 41 94 RPS 50353 FS2_colon_41_RPS RPS_day_41 colon_41_94
X2P94N5BFD12 FS2 feces 12 94 RPS 18241 FS2_feces_12_RPS RPS_day_12 feces_12_94
X2P94N5BFD15 FS2 feces 15 94 RPS 23638 FS2_feces_15_RPS RPS_day_15 feces_15_94
X2P94N5BFD19 FS2 feces 19 94 RPS 16306 FS2_feces_19_RPS RPS_day_19 feces_19_94
X2P94N5BFD28 FS2 feces 28 94 RPS 30546 FS2_feces_28_RPS RPS_day_28 feces_28_94
X2P94N5BFD35 FS2 feces 35 94 RPS 2866 FS2_feces_35_RPS RPS_day_35 feces_35_94
X2P94N5BFD41 FS2 feces 41 94 RPS 27275 FS2_feces_41_RPS RPS_day_41 feces_41_94
X2P94N5BXD41 FS2 cecum 41 94 RPS 47763 FS2_cecum_41_RPS RPS_day_41 cecum_41_94
X2P94N5BiD41 FS2 ileum 41 94 RPS 531 FS2_ileum_41_RPS RPS_day_41 ileum_41_94
X2P95N5AFD0 FS2 feces 0 95 RPS 12635 FS2_feces_0_RPS RPS_day_0 feces_0_95
X2P95N5AFD21 FS2 feces 21 95 RPS 41863 FS2_feces_21_RPS RPS_day_21 feces_21_95
X2P95N5AMD42 FS2 cec_cont_DNA 41 95 RPS 16 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_95
X2P95N5AUD42 FS2 cec_cont_RNA 41 95 RPS 51954 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_95
X2P95N5BCD41 FS2 colon 41 95 RPS 46974 FS2_colon_41_RPS RPS_day_41 colon_41_95
X2P95N5BFD12 FS2 feces 12 95 RPS 15893 FS2_feces_12_RPS RPS_day_12 feces_12_95
X2P95N5BFD15 FS2 feces 15 95 RPS 31070 FS2_feces_15_RPS RPS_day_15 feces_15_95
X2P95N5BFD19 FS2 feces 19 95 RPS 24482 FS2_feces_19_RPS RPS_day_19 feces_19_95
X2P95N5BFD28 FS2 feces 28 95 RPS 33625 FS2_feces_28_RPS RPS_day_28 feces_28_95
X2P95N5BFD35 FS2 feces 35 95 RPS 32053 FS2_feces_35_RPS RPS_day_35 feces_35_95
X2P95N5BFD41 FS2 feces 41 95 RPS 291 FS2_feces_41_RPS RPS_day_41 feces_41_95
X2P95N5BXD41 FS2 cecum 41 95 RPS 32098 FS2_cecum_41_RPS RPS_day_41 cecum_41_95
X2P95N5BiD41 FS2 ileum 41 95 RPS 2642 FS2_ileum_41_RPS RPS_day_41 ileum_41_95
X2P96N5AFD0 FS2 feces 0 96 RPS 20542 FS2_feces_0_RPS RPS_day_0 feces_0_96
X2P96N5AFD21 FS2 feces 21 96 RPS 32359 FS2_feces_21_RPS RPS_day_21 feces_21_96
X2P96N5AMD42 FS2 cec_cont_DNA 41 96 RPS 44 FS2_cec_cont_DNA_41_RPS RPS_day_41 cec_cont_DNA_41_96
X2P96N5AUD42 FS2 cec_cont_RNA 41 96 RPS 34574 FS2_cec_cont_RNA_41_RPS RPS_day_41 cec_cont_RNA_41_96
X2P96N5BCD41 FS2 colon 41 96 RPS 50064 FS2_colon_41_RPS RPS_day_41 colon_41_96
X2P96N5BFD12 FS2 feces 12 96 RPS 5033 FS2_feces_12_RPS RPS_day_12 feces_12_96
X2P96N5BFD15 FS2 feces 15 96 RPS 22531 FS2_feces_15_RPS RPS_day_15 feces_15_96
X2P96N5BFD19 FS2 feces 19 96 RPS 31544 FS2_feces_19_RPS RPS_day_19 feces_19_96
X2P96N5BFD28 FS2 feces 28 96 RPS 32009 FS2_feces_28_RPS RPS_day_28 feces_28_96
X2P96N5BFD35 FS2 feces 35 96 RPS 7 FS2_feces_35_RPS RPS_day_35 feces_35_96
X2P96N5BFD41 FS2 feces 41 96 RPS 34823 FS2_feces_41_RPS RPS_day_41 feces_41_96
X2P96N5BXD41 FS2 cecum 41 96 RPS 32177 FS2_cecum_41_RPS RPS_day_41 cecum_41_96
X2P96N5BiD41 FS2 ileum 41 96 RPS 3355 FS2_ileum_41_RPS RPS_day_41 ileum_41_96
